account_id,account_name,tier,tier_reason,scope_status,routed_to,industry,revenue_musd,parent_company,city,zip,membership_status,last_reviewed
0013300001dwYyPAAU,"Docker, Inc",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VAQMMAA5,Dodge & Cox,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
001f300001v8NZCAA2,Dolls Kill,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002LxVIbAAN,Domino Data Lab,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001qPy05AAC,Doximity,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v94NqAAI,"Drill Tech Drilling & Shoring, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8sU2AAI,Dronedeploy,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000001TrNHJAA3,Duetto,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VsKN1AAN,"E&E Co., Ltd.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whbEAAAY,EIS Group Inc,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
001a700000K46CwAAJ,EMPIRE,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8iGLAAY,Earthjustice,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y00002rSEDIAA4,Ease,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Employee Navigator,,,never,2026-08-13
001f3000022q5huAAA,"Eat Just, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K4SF2AAN,"Eaze, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Vireo Growth Inc.,,,never,2026-08-13
0014000000mY8eUAAS,"Eden Housing, Inc.",1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014000000VALuFAAX,Edgewood,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y00002rUO2ZAAW,Edpuzzle,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000Vt5l7AAB,Egain Corporation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8p6jAAA,Elation Health,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VsIeFAAV,Elma Electronic Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Elma Electronic AG,,,never,2026-08-13
0014y00002rSku4AAC,Embroker,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000LEjOSAA1,Emerson Collective,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rSxEyAAK,Enable,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000275LZdAAM,Enovix Corporation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rShzqAAC,"Env Services, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001osymFAAQ,Envoy,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001lNOXNAA4,"Essai, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Advantest Corporation,,,never,2026-08-13
001a700000K9HexAAF,Evenup,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001qPu1AAAS,Everlane,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001lIyw0AAC,Exar Corporation,3,No opp on account. Holdover release requested to Aug 24,in-book,,,,"MaxLinear, Inc.",,,never,2026-08-13
0014y00002ihP7IAAU,Exclusive Networks NA,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Exclusive Networks,,,never,2026-08-13
0014000000VAS4nAAH,Exploratorium,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y00002vMl8kAAC,"F-Secure, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whcQAAAY,FLYR,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015oItRAAU,Factory,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015oS8GAAU,FalconX,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002pC3KyAAK,Farallon Capital Management,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
001f300001v9218AAA,"Farmer's Business Network, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001oswQvAAI,"Fastpath Solutions, LLC",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Delinea,,,never,2026-08-13
001f300001v93KCAAY,"Fce Benefit Administrators, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001loDIyAAM,Federal Home Loan Bank of San Francisco,1,"Known contact Joseph Sacri from his prior org. Opp exists but cycle died, restartable",in-book,,,,,,,never,2026-08-13
001f300001z9QQQAA2,Felton Institute,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
